RC,Sub RC,IA,Sub IA,Github found (y/n),Added to VI,title,Code Link,url,publicationDate,type,contributors
Context and Dependencies,Geometric,-,-,y,y,ProxyDR: Deep Hyperspherical Metric Learning with Distance Ratio-Based Formulation,https://github.com/hjk92g/ProxyDR,https://api.nva.unit.no/publication/0198cc58c234-6b8f1a9e-8a09-4cc1-ab49-1f3600f2870f,2025,AcademicArticle,"Hyeongji Kim,Changkyu Choi,Michael Christian Kampffmeyer,Terje Berge,Pekka Parviainen,Ketil Malde"
Other fundamental research,Inf Theory ,-,-,y,y,Analysis of Deep Convolutional Neural Networks Using Tensor Kernels and Matrix-Based Entropy,https://github.com/Wickstrom/InformationTheoryExperiment,https://api.nva.unit.no/publication/0198cc4677fc-6f425dd9-4955-42f1-b394-455927ec8a6d,2023,AcademicArticle,"Kristoffer Wickstrøm,Sigurd Eivindson Løkse,Michael Kampffmeyer,Shujian Yu,José C. Príncipe,Robert Jenssen"
Context and Dependencies,Semantically-Aware Segmentation,-,-,y,Y,SPoT: Subpixel Placement of Tokens in Vision Transformers,https://github.com/dsb-ifi/SPoT,https://api.nva.unit.no/publication/019cf6218565-e3006056-514a-4532-978f-28e89f90635d,2026-3-16,AcademicArticle,"Martine Hjelkrem Tan,Marius Aasan,Gabriel Yanci Arteaga,Adín Ramírez Rivera"
Context and Dependencies,Geometric,-,-,y,Y,A Hubness Perspective on Representation Learning for Graph-Based Multi-View Clustering,https://github.com/zmxu196/hubREP,https://api.nva.unit.no/publication/0199940b9141-a8b0862d-6ae0-44e3-ba83-a7c207ecfee9,2025,AcademicArticle,"Zheming Xu,He Liu,Congyan Lang,Tao Wang,Yidong Li,Michael Kampffmeyer"
Context and Dependencies,,-,-,y,Y,Robust Classification by Coupling Data Mollification with Label Smoothing,github.com/markusheinonen/supervised-mollification,https://api.nva.unit.no/publication/019991c64133-c3e6c47e-c35d-442b-8d45-07d8e21d9869,2025,AcademicArticle,"Markus Heinonen,Ba-Hien Tran,Michael Kampffmeyer,Maurizio Filippone"
Limited Data,Self-supervised learning,-,-,y,Y,Mixing up contrastive learning: Self-supervised representation learning for time series,https://github.com/Wickstrom/MixupContrastiveLearning,https://api.nva.unit.no/publication/0198cc92fe2b-3252e640-a946-4584-9cf9-86405d6b5453,2022,AcademicArticle,"Kristoffer Wickstrøm,Michael Kampffmeyer,Karl Øyvind Mikalsen,Robert Jenssen"
Limited Data,Self-supervised learning,-,-,y,Y,On the Effects of Self-supervision and Contrastive Alignment in Deep Multi-view Clustering,https://github.com/DanielTrosten/DeepMVC,https://api.nva.unit.no/publication/0198cc66ac0e-821559d1-de4d-4db3-98e6-465b994d35a3,2023-8-22,AcademicArticle,"Daniel Johansen Trosten,Sigurd Eivindson Løkse,Robert Jenssen,Michael Kampffmeyer"
XAI,,-,-,y,Y,The Meta-Evaluation Problem in Explainable AI: Identifying Reliable Estimators with MetaQuantus,https://github.com/annahedstroem/MetaQuantus,https://api.nva.unit.no/publication/0198cc476488-7b3c72a8-df4b-4678-943d-4c4e7c6d84d6,2023,AcademicArticle,"Kristoffer Knutsen Wickstrøm,Marina Marie-Claire Höhne"
Limited Labels,Unsupervised,-,-,y,Y,Reconsidering Representation Alignment for Multi-View Clustering,https://github.com/DanielTrosten/mvc,https://api.nva.unit.no/publication/0198cc44ed90-5bf27093-4a29-4344-96f6-0149206dbb41,2021,AcademicArticle,"Daniel Johansen Trosten,Sigurd Eivindson Løkse,Robert Jenssen,Michael Kampffmeyer"
Limited Labels,Unsupervised,-,-,y,Y,AdaptCMVC: Robust Adaption to Incremental Views in Continual Multi-view Clustering,https://github.com/Wjing-bjtu/AdaptCMVC,https://api.nva.unit.no/publication/0199940ed7cd-6aac2654-f23c-4a55-b8cf-d58b3ff1f316,2025,AcademicArticle,"Jing Wang,Songhe Feng,Kristoffer Wickstrøm,Michael Kampffmeyer"
Uncertainty/XAI,-,-,-,y,Y,"REPEAT: Improving Uncertainty Estimation in Representation Learning Explainability
                                                        | Proceedings of the AAAI Conference on Artificial Intelligence",https://github.com/Wickstrom/REPEAT/,https://api.nva.unit.no/publication/019929451631-4f7ef971-2650-409d-9b34-2f00658ea5d8,2025-4-11,AcademicArticle,"Kristoffer Wickstrøm,Thea Brüsch,Michael Kampffmeyer,Robert Jenssen"
XAI,Concept & Prototypes,-,-,y,Y,ProtoVAE: A Trustworthy Self-Explainable Prototypical Variational Model,https://github.com/SrishtiGautam/ProtoVAE,https://api.nva.unit.no/publication/0198cc95ff5b-f641aa57-3fbd-4219-b675-febe66fec021,2022,AcademicArticle,"Srishti Gautam,Ahcene Boubekki,Stine Hansen,Suaiba Amina Salahuddin,Robert Jenssen,Marina Marie-Claire Hohne,Michael Kampffmeyer"
XAI,,-,-,y,Y,RELAX: Representation Learning Explainability,https://github.com/Wickstrom/RELAX,https://api.nva.unit.no/publication/0198cc88966e-63a521df-54e7-4cea-80bf-bdadcf3c9886,2023,AcademicArticle,"Kristoffer Wickstrøm,Daniel Johansen Trosten,Sigurd Eivindson Løkse,Ahcene Boubekki,Karl Øyvind Mikalsen,Michael Kampffmeyer,Robert Jenssen"
Limited Labels,Self-supervised learning,-,-,y,Y,Learning from Memory: Non-Parametric Memory Augmented Self-Supervised Learning of Visual Features,https://github.com/sthalles/MaSSL,https://api.nva.unit.no/publication/0198cc7f8d32-9ee82174-421b-463a-b76a-1c6d00926913,2024,AcademicArticle,"Thalles Silva,Helio Pedrini,Adín Ramírez Rivera"
Context & Dependencies	Multi-Task Learning,,-,-,y,y,Joint optimization of an autoencoder for clustering and embedding.,https://github.com/Ahcene-B/clustering-Module,https://api.nva.unit.no/publication/0198cc5e16fa-3af35927-786c-4f84-a82f-3685937ca3e7,2021,AcademicArticle,"Ahcene Boubekki,Michael Kampffmeyer,Ulf Brefeld,Robert Jenssen"
XAI,,-,-,y,y,ExMap: Leveraging Explainability Heatmaps for Unsupervised Group Robustness to Spurious Correlations,https://github.com/rwchakra/exmap,https://api.nva.unit.no/publication/0198cc44676b-8d4a2e87-f541-4d3d-8aa2-b38de6f7db69,2024,AcademicArticle,"Rwiddhi Chakraborty,Adrian Sletten,Michael Christian Kampffmeyer"
Other fundamental research,Inf Theory ,-,-,y,y,Measuring Dependence with Matrix-based Entropy Functional,https://github.com/SJYuCNEL/Matrix-based-Dependence,https://api.nva.unit.no/publication/0198cc7fc252-7104c094-a5ed-4a83-b4bb-cc3264acbd5f,2021,AcademicArticle,"Shujian Yu,Francesco Alesiani,Xi Yu,Robert Jenssen,Jose C. Principe"
Other fundamental research,Inf Theory ,-,-,y,y,Cauchy-Schwarz Divergence Information Bottleneck for Regression,https://github.com/SJYuCNEL/Cauchy-Schwarz-Information-Bottleneck,https://api.nva.unit.no/publication/0198cc786555-747c067e-6728-4a02-9a1d-275571512fc0,2024,AcademicArticle,"Shujian Yu,Sigurd Eivindson Løkse,Robert Jenssen,Jose Principe"
Limited Labels,Unsupervised,-,-,y,y,Supercm: Revisiting Clustering for Semi-Supervised Learning,https://github.com/Durgesh93/SuperCM.git,https://api.nva.unit.no/publication/0198cc66f63d-2234b1bb-43c8-4277-bc43-a54337119b7c,2023,AcademicArticle,"Durgesh Kumar Singh,Ahcene Boubekki,Robert Jenssen,Michael Kampffmeyer"
Other fundamental research,Inf Theory ,-,-,y,y,The Kernelized Taylor Diagram,https://github.com/Wickstrom/KernelizedTaylorDiagram,https://api.nva.unit.no/publication/0198cc3da5b9-8687d8c4-ea6e-492c-bc08-69b57741b7fe,2022,AcademicArticle,"Kristoffer Wickstrøm,Juan Emmanuel Johnson,Sigurd Eivindson Løkse,Gusatu Camps-Valls,Karl Øyvind Mikalsen,Michael Kampffmeyer,Robert Jenssen"
Limited Labels,,-,-,y,y,Deep Image Translation With an Affinity-Based Change Prior for Unsupervised Multimodal Change Detection,https://github.com/llu025/Heterogeneous_CD,https://api.nva.unit.no/publication/0198cc785571-9be37cf1-ecb1-4abb-9e9a-eb11ecd7c0e5,2021,AcademicArticle,"Luigi Tommaso Luppino,Michael Kampffmeyer,Filippo Maria Bianchi,Gabriele Moser,Sebastiano Bruno Serpico,Robert Jenssen,Stian Normann Anfinsen"
XAI,Concept & Prototypes,-,-,y,y,Prototypical Self-Explainable Models Without Re-training,https://github.com/SrishtiGautam/KMEx,https://api.nva.unit.no/publication/0198cc94fc5e-f9090bec-6ccb-41b9-b38f-09d2c173bfe3,2024,AcademicArticle,"Srishti Gautam,Ahcene Boubekki,Marina Marie-Claire Höhne,Michael Christian Kampffmeyer"
Uncertainty,,-,-,y,y,On Measures of Uncertainty in Classification,github.com/pioui/uncertainty,https://api.nva.unit.no/publication/0198cc848696-ad8480c4-7bd8-4df5-b685-118f227eb681,2023,AcademicArticle,"Saloua Chlaily,Debanshu Ratha,Pigi Lozou,Andrea Marinoni"
Limited Labels,Few-Shot,-,-,y,y,Hubs and Hyperspheres: Reducing Hubness and Improving Transductive Few-shot Learning with Hyperspherical Embeddings,https://github.com/uitml/noHub,https://api.nva.unit.no/publication/0198cc66ac0e-5ee657e7-5160-4998-968c-bd9b7b651543,2023,AcademicArticle,"Daniel Johansen Trosten,Rwiddhi Chakraborty,Sigurd Eivindson Løkse,Kristoffer Wickstrøm,Robert Jenssen,Michael Kampffmeyer"
Uncertainty,-,Energy,Microfossils,y,Y,Quantifying uncertainty in foraminifera classification: How deep learning methods compare to human experts,https://github.com/IverMartinsen/ict-plus-uncertainty,https://api.nva.unit.no/publication/0198cc6e5a00-e4591aad-6fbc-4fc7-9707-b792ab2a31b9,2025,AcademicArticle,"Iver Martinsen,Steffen Aagaard Sørensen,Samuel Ortega Sarmiento,Fred Godtliebsen,Miguel Angel Tejedor Hernandez,Eirik Myrvoll-Nilsen"
,,Energy,Microfossils,y,Y,The Fossil Frontier: An answer to the 3-billion fossil question,https://github.com/equinor/scampi-benchmark,https://api.nva.unit.no/publication/019bfed2ee78-4fcc28d7-1c6e-4f00-bfb6-decb3cac7b72,2025-12-30,AcademicArticle,"Iver Martinsen,Benjamin Ricaud,David Wade,Odd Kolbjørnsen,Fred Godtliebsen"
,,Energy,Microfossils,y,Y,The 3-billion fossil question: How to automate classification of microfossils,https://github.com/IverMartinsen/simclr,https://api.nva.unit.no/publication/0198cc6be7ed-0caeb3c2-f94f-4e45-beb2-7b54e3270d08,2024,AcademicArticle,"Iver Martinsen,David Wade,Benjamin Ricaud,Fred Godtliebsen"
Limited Labels,Semi-supervised,Marine,-,y,y,Deep Semisupervised Semantic Segmentation in Multifrequency Echosounder Data,https://github.com/SFI-Visual-Intelligence/PredKlus-semisup-segmentation,https://api.nva.unit.no/publication/0198cc7de070-8f0c9345-2179-4f65-8869-71edd52e2003,2023,AcademicArticle,"Changkyu Choi,Michael Kampffmeyer,Nils Olav Handegard,Arnt-Børre Salberg,Robert Jenssen"
Limited Data,Domain Transfer,Med,Digital Pathology,y,y,A Pragmatic Machine Learning Approach to Quantify Tumor-Infiltrating Lymphocytes in Whole Slide Images,"Web server repository: https://github.com/uit-hdl/histology
Machine learning pipeline: https://github.com/uit-hdl/hovernet-pipeline and convenience tools
for easy setup: https://github.com/uit-hdl/hover_build",https://api.nva.unit.no/publication/0198cc44342f-0b194d89-cbc9-4ffb-b2a5-78988c93ab77,2022,AcademicArticle,"Nikita Shvetsov,Morten Grønnesby,Edvard Pedersen,Kajsa Møllersen,Lill-Tove Rasmussen Busund,Ruth Schwienbacher,Lars Ailo Bongo,Thomas Karsten Kilvær"
Limited Data,Self-supervised learning,Med,Diabetic Retinopathy,y,y,To pretrain or not? A systematic analysis of the benefits of pretraining in diabetic retinopathy,https://github.com/VigneshSrinivasan10/dr_pretraining,https://api.nva.unit.no/publication/0198cc96a56e-9e6fb553-2e6c-49f2-9fc0-d629a183b8a4,2022,AcademicArticle,"Vignesh Srinivasan,Nils Strodthoff,Jackie Ma,Alexander Binder,Klaus-Robert Müller,Wojciech Samek"
XAI,General XAI methods,Med,Digital Pathology,y-ish,y,Morphological and molecular breast cancer profiling through explainable machine learning,https://figshare.com/articles/software/Morphological_and_molecular_breast_cancer_profiling_through_explainable_machine_learning/13078835?file=25028330,https://api.nva.unit.no/publication/0198cc61dc6a-041592ca-c8e0-4ead-8dc3-9d91fa436de4,2021,AcademicArticle,"Alexander Binder,Michael Bockmayr,Miriam Hägele,Stephan Wienert,Daniel Heim,Katharina Hellweg,Masaru Ishii,Albrecht Stenzinger,Andreas C. Hocke,Carsten Denkert,Klaus-Robert Müller,Frederick Klauschen"
Limited Data,Domain Transfer,Med,Digital Pathology,y,y,Fast TILs—A pipeline for efficient TILs estimation in non-small cell lung cancer,https://github.com/uit-hdl/hovernet-pipeline,https://api.nva.unit.no/publication/01999a141922-09de1728-258f-47b5-aa4e-e468947b76b9,2025-4-1,AcademicArticle,"Nikita Shvetsov,Anders Sildnes,Masoud Tafavvoghi,Lill-Tove Rasmussen Busund,Stig Manfred Dalen,Kajsa Møllersen,Lars Ailo Bongo,Thomas Karsten Kilvær"
,,Med,Motion and Pose Estimation,y,y,Coordinate Transformer: Achieving Single-stage Multi-person Mesh Recovery from Videos,https://github.com/Li-Hao-yuan/CoordFormer,https://api.nva.unit.no/publication/0198cc64d41d-eff380da-bc84-47cf-a9ff-33d6619a9c15,2023,AcademicArticle,"Haoyuan Li,Haoye Dong,Hanchao Jia,Dong Huang,Michael Christian Kampffmeyer,Liang Lin,Xiaodan Liang"
Context and Dependencies,Spatio-Temporal or Longitudinal Information,Med,Mammography,y,y,Reconsidering Explicit Longitudinal Mammography Alignment for Enhanced Breast Cancer Risk Prediction,https://github.com/sot176/Longitudinal_Mammogram_Alignment.git,https://api.nva.unit.no/publication/019986309df2-e8b66340-e972-46e5-aedf-713647de3260,2025-9-20,AcademicArticle,"Solveig Thrun,Stine Hansen,Zijun Sun,Nele Blum,Suaiba Amina Salahuddin,Kristoffer Wickstrøm,Elisabeth Wetzer,Robert Jenssen,Maik Stille,Michael Kampffmeyer"
,,Med,CT & X-Ray,y,y,View it like a radiologist: Shifted windows for deep learning augmentation of CT images,https://github.com/agnalt/random-windowing,https://api.nva.unit.no/publication/0198cc7caa5b-c4acef6c-3a99-4101-8638-5f1b4ce5a4aa,2023,AcademicArticle,"Eirik Agnalt Østmo,Kristoffer Wickstrøm,Keyur Radiya,Michael Kampffmeyer,Robert Jenssen"
,,Med,Digital Pathology,y,y,Are nuclear masks all you need for improved out-of-domain generalisation? A closer look at cancer classification in histopathology,https://github.com/undercutspiky/SFL/,https://api.nva.unit.no/publication/0198cc7b003a-37bc8e7a-ef4d-4fdd-927a-d02176b91b9d,2024,AcademicArticle,"Dhananjay Tomar,Alexander Binder,Andreas Kleppe"
Limited Labels,Self-supervised learning,Med,CT & X-Ray,y,y,Self-Supervised Few-Shot Learning for Ischemic Stroke Lesion Segmentation,https://github.com/Biomedical-Data-Analysis-Laboratory/ADNet-for-AIS-segmentation,https://api.nva.unit.no/publication/0198cc64e9c0-42ec9635-399a-4b42-981f-6ff5e2fa76d8,2023,AcademicArticle,"Luca Tomasetti,Stine Hansen,Mahdieh Khanmohammadi,Kjersti Engan,Liv Jorunn Høllesli,Kathinka Dæhli Kurz,Michael Christian Kampffmeyer"
Limited Labels,Self-supervised learning,Med,CT & X-Ray,y,y,A clinically motivated self-supervised approach for content-based image retrieval of CT liver images,https://github.com/Wickstrom/clinical-self-supervised-CBIR-ct-liver.git,https://api.nva.unit.no/publication/0198cc5430c3-aa4f62a6-a73f-46ef-ba92-6a027045dbe0,2023,AcademicArticle,"Kristoffer Wickstrøm,Eirik Agnalt Østmo,Keyur Radiya,Karl Øyvind Mikalsen,Michael Kampffmeyer,Robert Jenssen"
Context & Dependencies,Geometric,Med,Mammography,y,y,VMRA-MaR: An Asymmetry-Aware Temporal Framework for Longitudinal Breast Cancer Risk Prediction,https://github.com/Mortal-Suen/VMRA-MaR.git,https://api.nva.unit.no/publication/019991bb2ab0-390a12ea-05cc-485c-a027-c6d0dfec9a09,2025,AcademicArticle,"Zijun Sun,Solveig Thrun,Michael Kampffmeyer"
,,Med,Others,y,y,BrainIB: Interpretable Brain Network-Based Psychiatric Diagnosis With Graph Information Bottleneck,PredKlus-semisup-segmentation,https://api.nva.unit.no/publication/0198cc7a8f78-1311c634-5f28-4c2a-aa06-67fc0f4bbdb6,2024,AcademicArticle,"Kaizhong Zheng,Shujian Yu,Baojuan Li,Robert Jenssen,Badong Chen"
-,-,Other Applications,-,y,Y,Sitcom-Crafter: A Plot-Driven Human Motion Generation System in 3D Scenes,https://windvchen.github.io/Sitcom-Crafter,https://api.nva.unit.no/publication/01999405efc0-d62543f9-e39b-4526-82a6-9fbdbf6b88a7,2025,AcademicArticle,"Jianqi Chen,Panwen Hu,Xiaojun Chang,Zhenwei Shi,Michael Kampffmeyer,Xiaodan Liang"
,,Other Applications,-,y,Y,M3D-VTON: A Monocular-to-3D Virtual Try-On Network,https://github.com/fyviezhao/M3D-VTON,https://api.nva.unit.no/publication/0198cc716f05-f133302c-c1e4-4504-a363-5ea0f1ed4d66,2021,AcademicArticle,"Fuwei Zhao,Zhenyu Xie,Michael Kampffmeyer,Haoye Dong,Songfang Han,Tianxiang Zheng,Tao Zhang,Xiaodan Liang"
,,Other Applications,-,y,Y,Towards Hard-pose Virtual Try-on via 3D-aware Global Correspondence Learning,https://github.com/huangzy225/3D-GCL,https://api.nva.unit.no/publication/0198cc8effeb-b8ee9486-5e0a-4006-a545-944563cb4a4f,2022,AcademicArticle,"Zaiyu Huang,Hanhui Li,Zhenyu Xie,Michael Kampffmeyer,Qingling Cai,Xiaodan Liang"
,,Other Applications,-,y,Y,Towards Scalable Unpaired Virtual Try-On via Patch-Routed Spatially-Adaptive GAN,https://github.com/xiezhy6/PASTA-GAN,https://api.nva.unit.no/publication/0198cc7390ae-7344fc1d-154f-45f3-8790-6c38ca553c65,2021,AcademicArticle,"Zhenyu Xie,Zaiyu Huang,Fuwei Zhao,Haoye Dong,Michael Kampffmeyer,Xiaodan Liang"
XAI,,Other Applications,-,y,Y,DocVXQA: Context-Aware Visual Explanations for Document Question Answering,https://github.com/dali92002/DocVXQA,https://api.nva.unit.no/publication/0198cc68b193-cbb9f605-541a-4e7e-a782-92d71761e5d4,2025,AcademicArticle,"Mohamed Ali Souibgui,Changkyu Choi,Andrey Barsky,Kangsoo Jung,Ernest Valveny,Dimosthenis Karatzas"
,,,Sea Ice Prediction,y,Y,Investigating the Impact of Feature Reduction for Deep Learning-based Seasonal Sea Ice Forecasting,https://github.com/tom-andersson/icenet-paper,https://api.nva.unit.no/publication/0198cc8e6781-df14ff12-de52-4a19-8dcc-1297aade803d,2025,AcademicArticle,"Lars Uebbing,Harald Lykke Joakimsen,Luigi Tommaso Luppino,Iver Martinsen,Andrew McDonald,Kristoffer Wickstrøm,Sebastien Francois Lefevre,Arnt Børre Salberg,Scott Hosking,Robert Jenssen"
